,fold,model,accuracy,f1,recall,time,training_error,testing_error
0,0,Proto_Net+disto_pl,0.872003626815769,0.8705747618422922,0.872003626815769,364.95897221565247,11.492408402909208,12.799637318423091
0,0,Proto_Net+disto,0.8706057915714313,0.869056851199086,0.8706057915714313,332.01576113700867,11.398486872224241,12.939420842856872
0,0,Proto_Net+pl,0.8709646952152478,0.8687873140363195,0.8709646952152478,1831.9451160430908,11.297957796666966,12.903530478475226
0,0,Proto_Net,0.8724569787869056,0.8717983908981157,0.8724569787869056,2107.2636177539825,11.225274803071564,12.754302121309433
0,0,Net,0.8724380891214416,0.8709346733995614,0.8724380891214416,360.0013129711151,11.415949669386773,12.756191087855834
0,0,Logistic Regression,0.8249494701448837,0.822573051247136,0.8249494701448837,2470.786714076996,16.853487131806368,17.505052985511625
0,0,KNN,0.8610287311811707,0.8586768699664433,0.8610287311811707,0.13397002220153809,0.09761231646364199,0.13897126881882926
0,1,Proto_Net+disto_pl,0.8710213642116398,0.8696617828616238,0.8710213642116398,356.2212779521942,11.228578575507719,12.897863578836018
0,1,Proto_Net+disto,0.870398005251327,0.8701150775120945,0.870398005251327,328.7808539867401,11.182325761401554,12.9601994748673
0,1,Proto_Net+pl,0.87266476510701,0.8710083333093616,0.87266476510701,2126.881185054779,11.027048456902289,12.733523489299003
0,1,Proto_Net,0.8696613082982301,0.8679549191045758,0.8696613082982301,2103.710191011429,11.196484786127932,13.033869170176995
0,1,Net,0.8720225164812331,0.8705260003440713,0.8720225164812331,359.5712630748749,11.314948626338618,12.79774835187669
0,1,Logistic Regression,0.8260072914108691,0.8229770373881363,0.8260072914108691,2173.056454181671,16.77514052832041,17.399270858913084
0,1,KNN,0.8576852603940385,0.8553143307170497,0.8576852603940385,0.1316971778869629,0.09799461013125421,0.14231473960596153
0,2,Proto_Net+disto_pl,0.8717580611647368,0.870245940980812,0.8717580611647368,402.5012288093567,11.470225930837884,12.824193883526322
0,2,Proto_Net+disto,0.870379115585863,0.8687268486327013,0.870379115585863,973.4686050415039,11.398486872224241,12.962088441413702
0,2,Proto_Net+pl,0.8739492623585636,0.8720065590564803,0.8739492623585636,2771.549633026123,11.208755940890791,12.605073764143636
0,2,Proto_Net,0.8735714690492832,0.8722317277603696,0.8735714690492832,2450.973635673523,11.24698530765201,12.642853095071684
0,2,Net,0.8724569787869056,0.8714095231334588,0.8724569787869056,364.4763400554657,11.347986350700163,12.754302121309433
0,2,Logistic Regression,0.8255350497742685,0.8226478027839986,0.8255350497742685,682.1530847549438,16.884165018713514,17.44649502257315
0,2,KNN,0.8599520202497214,0.8570087174188292,0.8599520202497214,0.13309383392333984,0.09732913596911441,0.1400479797502786
0,3,Proto_Net+disto_pl,0.8728158824307222,0.8710678017766617,0.8728158824307222,352.17766189575195,11.507511362617343,12.718411756927786
0,3,Proto_Net+disto,0.8725136477832978,0.8710992569258644,0.8725136477832978,928.9787788391113,11.294182056739931,12.748635221670224
0,3,Proto_Net+pl,0.871852509492057,0.8702209044496914,0.871852509492057,2428.363914012909,11.292766154267294,12.81474905079431
0,3,Proto_Net,0.8738548140312435,0.871943262169492,0.8738548140312435,1810.0417308807373,11.049230928973612,12.614518596875648
0,3,Net,0.8702657775930789,0.8682718974558763,0.8702657775930789,659.405115365982,11.557539916650542,12.973422240692118
0,3,Logistic Regression,0.8247794631557075,0.8216945131411896,0.8247794631557075,1277.8143420219421,16.77183675588425,17.522053684429252
0,3,KNN,0.859725344264153,0.8571934658875104,0.859725344264153,0.1315457820892334,0.09865536461848512,0.14027465573584696
0,4,Proto_Net+disto_pl,0.870416894916791,0.8690248195746642,0.870416894916791,351.66334319114685,11.440020011421613,12.958310508320897
0,4,Proto_Net+disto,0.8694157426471977,0.8689917813057606,0.8694157426471977,927.5011420249939,11.453235101166232,13.058425735280228
0,4,Proto_Net+pl,0.8700013222765824,0.8685652340090557,0.8700013222765824,2425.7248120307922,11.347514383209283,12.999867772341753
0,4,Proto_Net,0.8736659173766033,0.8718350944375461,0.8736659173766033,2106.946747779846,11.137016882277148,12.633408262339675
0,4,Net,0.8727214341034021,0.8715000977753388,0.8727214341034021,360.06714630126953,11.425860986695238,12.727856589659797
0,4,Logistic Regression,0.8240238765371465,0.821187161221486,0.8240238765371465,1280.7785408496857,16.715672624469626,17.597612346285352
0,4,KNN,0.8585919643363116,0.856325357507707,0.8585919643363116,0.13085222244262695,0.09719226539675951,0.14140803566368843
